회사,stock_code,기준일,시가총액,시가총액_억원,시가총액_조원,종가,상장주식수,수집일
삼성중공업,010140,2021-05-31,3811500000000,38115.0,3.8115,6050,630000000,2026-06-05
한화오션,042660,2021-04-30,3937567552300,39375.6755,3.937568,36700,107290669,2026-06-05
삼성중공업,010140,2021-04-30,4725000000000,47250.0,4.725,7500,630000000,2026-06-05
한화오션,042660,2021-03-31,3036325932700,30363.2593,3.036326,28300,107290669,2026-06-05
삼성중공업,010140,2021-03-31,4895100000000,48951.0,4.8951,7770,630000000,2026-06-05
한화오션,042660,2021-02-26,2730547526050,27305.4753,2.730548,25450,107290669,2026-06-05
삼성중공업,010140,2021-02-26,4132800000000,41328.0,4.1328,6560,630000000,2026-06-05
한화오션,042660,2021-01-29,2623256857050,26232.5686,2.623257,24450,107290669,2026-06-05
삼성중공업,010140,2021-01-29,3912300000000,39123.0,3.9123,6210,630000000,2026-06-05
한화오션,042660,2020-12-30,2939764330600,29397.6433,2.939764,27400,107290669,2026-06-05
삼성중공업,010140,2020-12-30,4435200000000,44352.0,4.4352,7040,630000000,2026-06-05
한화오션,042660,2020-11-30,2902212596450,29022.126,2.902213,27050,107290669,2026-06-05
삼성중공업,010140,2020-11-30,4302900000000,43029.0,4.3029,6830,630000000,2026-06-05
한화오션,042660,2020-10-30,2288842805200,22888.4281,2.288843,21350,107205752,2026-06-05
삼성중공업,010140,2020-10-30,3181500000000,31815.0,3.1815,5050,630000000,2026-06-05
한화오션,042660,2020-09-29,2551496897600,25514.969,2.551497,23800,107205752,2026-06-05
삼성중공업,010140,2020-09-29,3357900000000,33579.0,3.3579,5330,630000000,2026-06-05
한화오션,042660,2020-08-31,2374607406800,23746.0741,2.374607,22150,107205752,2026-06-05
삼성중공업,010140,2020-08-31,3250800000000,32508.0,3.2508,5160,630000000,2026-06-05
한화오션,042660,2020-07-31,2535416034800,25354.1603,2.535416,23650,107205752,2026-06-05
삼성중공업,010140,2020-07-31,3603600000000,36036.0,3.6036,5720,630000000,2026-06-05
한화오션,042660,2020-06-30,2899915591600,28999.1559,2.899916,27050,107205752,2026-06-05
삼성중공업,010140,2020-06-30,3748500000000,37485.0,3.7485,5950,630000000,2026-06-05
한화오션,042660,2020-05-29,2337085393600,23370.8539,2.337085,21800,107205752,2026-06-05
삼성중공업,010140,2020-05-29,3033450000000,30334.5,3.03345,4815,630000000,2026-06-05
한화오션,042660,2020-04-29,1838578646800,18385.7865,1.838579,17150,107205752,2026-06-05
삼성중공업,010140,2020-04-29,2699550000000,26995.5,2.69955,4285,630000000,2026-06-05
한화오션,042660,2020-03-31,1441917364400,14419.1736,1.441917,13450,107205752,2026-06-05
삼성중공업,010140,2020-03-31,2457000000000,24570.0,2.457,3900,630000000,2026-06-05
한화오션,042660,2020-02-28,2374607406800,23746.0741,2.374607,22150,107205752,2026-06-05
삼성중공업,010140,2020-02-28,3672900000000,36729.0,3.6729,5830,630000000,2026-06-05
한화오션,042660,2020-01-31,2647982074400,26479.8207,2.647982,24700,107205752,2026-06-05
삼성중공업,010140,2020-01-31,4189500000000,41895.0,4.1895,6650,630000000,2026-06-05
